등록번호,대표자,상호,소재지,전화번호,구
41113-2021-00057,전혜정,샘부동산중개사무소,경기도 수원시 권선구 매실로 34 103호(호매실동),-,권선구
41113-2024-00093,권순범,샤인부동산공인중개사사무소,경기도 수원시 권선구 경수대로 366 201호 (권선동),031-222-1009  -  070-4496-0901  070-4496-0900  070-4496-6737  070-4496-0902  070-8834-0350  070-8834-0349  070-8834-0348  070-8894-0608  070-8894-0609  070-8894-0610  070-8894-0611  070-8894-0612  070-8894-0790  070-8894-6025  070-8894-0348  070-8894-0349  070-8830-0876  -,권선구
가3680-1014,원선옥,서구부동산공인중개사사무소,경기도 수원시 권선구 구운로85번길 1 (구운동),291-3486,권선구
41113-2020-00018,김순예,서둔참공인중개사사무소,"경기도 수원시 권선구 서호동로14번길 52-41 205동 102호(서둔동, 삼익리베리움)",031-8081-3030,권선구
41113-2016-00114,이효인,서수원자이공인중개사사무소,"경기도 수원시 권선구 입북로 50 301동 102호 (입북동,서수원자이아파트)",031-242-8200,권선구
41113-2022-00087,임민주,서수원탑공인중개사사무소,경기도 수원시 권선구 하탑로 7 1층(탑동),-,권선구
41113-2018-00023,김미정,서수원푸르지오공인중개사사무소,"경기도 수원시 권선구 입북로77번길 62 116동상가동 101호(입북동, 서수원 레이크 푸르지오 1단지)",031-297-2200,권선구
가3680-1246,임순식,서수원합동공인중개사사무소,경기도 수원시 권선구 하탑로 7 (탑동),291-5500,권선구
41113-2024-00068,조윤호,서울공인중개사사무소,경기도 수원시 권선구 장다리로 73,-,권선구
3615-678,문준희,서울공인중개사사무소,경기도 수원시 권선구 매송고색로691번길 2 (고색동),296-3716,권선구
41113-2024-00096,한영란,서호부동산공인중개사사무소,경기도 수원시 권선구 세화로141번길 30-1 1층,-,권선구
41113-2023-00029,신재호,서희베스트중개공인중개사사무소,"경기도 수원시 권선구 온정로9번길 33 , 102호(오목천동)",,권선구
가3680-382,김종희,선경동남성일공인중개사사무소,"경기도 수원시 권선구 여기산로 42 104호 (서둔동,성일아파트상가)",031-293-0101,권선구
가3680-874,라정자,선일유원공인중개사사무소,"경기도 수원시 권선구 권중로 110 제1상가동 104호(권선동, 유원보성아파트)",232-7722,권선구
41113-2015-00036,이금옥,선진(031-291-6400)공인중개사사무소,경기도 수원시 권선구 매실로 61 301동 104호,031-291-6400,권선구
가3680-431,설금숙,설금숙공인중개사사무소,경기도 수원시 권선구 경수대로302번길 22 (권선동),031-235-8944,권선구
41113-2016-00079,최호진,성우공인중개사사무소,"경기도 수원시 권선구 산업로 180 144호, 145호(고색동,  DH테크타워)",031-224-1544,권선구
가3678-1217,이숙,성원공인중개사사무소,경기도 수원시 권선구 일월천로4번길 74 (구운동),031-293-9200,권선구
41113-2016-00044,서미교,성지공인중개사사무소,"경기도 수원시 권선구 경수대로302번길 32 상가동 103호 (권선동,성지아파트)",031-233-6600,권선구
41113-2022-00114,김태숙,세광부동산공인중개사사무소,경기도 수원시 권선구 장다리로 49 1층(세류동),031-239-8975  -,권선구
나3680-547,박영복,세류부동산,경기도 수원시 권선구 정조로454번길 2 (세류동),031-235-7891,권선구
41113-2015-00027,전서희,세류일등부동산공인중개사사무소,경기도 수원시 권선구 덕영대로 1105,031-238-9933,권선구
41113-2017-00049,김미경,세종공인중개사사무소,경기도 수원시 권선구 금곡로 204 101호(금곡동),031-225-7700,권선구
41113-2017-00097,이영미,세종합동공인중개사사무소,경기도 수원시 권선구 금곡로 204 101호(금곡동),031-225-7700,권선구
가3680-1438,오추환,세진공인중개사사무소,경기도 수원시 권선구 정조로 526 (세류동),031-236-0047,권선구
41113-2016-00061,김용하,세진합동공인중개사사무소,경기도 수원시 권선구 정조로 526 (세류동),031-235-8940,권선구
41113-2023-00008,백선화,세화로공인중개사사무소,경기도 수원시 권선구 세화로169번길 25 1층(서둔동),-,권선구
가3680-876,차경애,센스공인중개사사무소,경기도 수원시 권선구 경수대로302번길 22 (권선동),221-4944,권선구
가3680-1793,고성경,센트라우스공인중개사사무소,경기도 수원시 권선구 세화로168번길 26 (서둔동),031-295-4114,권선구
41113-2019-00115,성기혜,센트럴삼성공인중개사사무소,"경기도 수원시 권선구 세권로 1 상가동 104호(세류동, 수원역센트럴어반시티)",031-222-8386,권선구
가3680-953,정태사,센트럴타운공인중개사사무소,경기도 수원시 권선구 세류로 51-1 (세류동),031-235-2724,권선구
41113-2024-00083,우승기,센트럴탑공인중개사사무소,"경기도 수원시 권선구 세류로 60 , 상가동 104호(세류동)",-,권선구
41113-2018-00083,유애경,솔루션공인중개사사무소,경기도 수원시 권선구 상탑로 26 (탑동),031-292-8585,권선구
가3680-3146,윤근우,솔빛공인중개사사무소,경기도 수원시 권선구 금곡로140번길 95-26 (호매실동),031-295-0014,권선구
가3680-731,성관모,수원랜드탑공인중개사사무소,경기도 수원시 권선구 하탑로 53 (탑동),227-4585,권선구
41113-2022-00022,전재표,수원몽땅공인중개사사무소,경기도 수원시 권선구 경수대로309번길 7 101호(세류동),031-223-5600,권선구
41113-2018-00076,이상돈,수원벤처밸리 공인중개사사무소,경기도 수원시 권선구 산업로156번길 142-10 수원벤처밸리Ⅱ B동111호(고색동),031-739-5888,권선구
가3680-3149,신선자,수원부동산공인중개사사무소,경기도 수원시 권선구 정조로384번길 2 (세류동),031-223-7002,권선구
41113-2017-00170,김종민,수원부동산공인중개사사무소,경기도 수원시 권선구 매송고색로794번길 191 1층(평리동),031-298-6660,권선구
41113-2022-00101,공경택,수원비행장공인중개사사무소,경기도 수원시 권선구 새터로37번길 40 1층(세류동),-,권선구
가3680-3008,추병재,수원시청역SKVIEW공인중개사사무소,경기도 수원시 권선구 권선로694번길 10 (권선동),031-222-0099,권선구
41113-2020-00084,김동욱,수원역부동산센터공인중개사사무소,경기도 수원시 권선구 세권로 12 (세류동),031-302-1577,권선구
41113-2015-00015,이인영,수원역센트라우스공인중개사사무소,"경기도 수원시 권선구 세화로168번길 15 상가동 103호(서둔동, 센트라우스)",031-297-7100,권선구
가3680-2915,채규자,수원역센트럴공인중개사사무소,"경기도 수원시 권선구 세류로 39 상가동 104호(세류동,LH수원센트럴타운2단지)",031-898-9567,권선구
41113-2023-00024,조현순,수원역일등공인중개사사무소,"경기도 수원시 권선구 세류로 39  상가동 101호 (세류동, LH수원센트럴타운2단지)",-,권선구
41113-2015-00054,안미영,수원역중앙공인중개사사무소,경기도 수원시 권선구 세화로168번길 15 상가동 102호(서둔동),031-278-1300,권선구
41113-2022-00126,구지은,수원역한양부동산공인중개사사무소,"경기도 수원시 권선구 세화로134번길 11 107호(서둔동, 수원역 한양아이클래스 퍼스트)",031-898-8249,권선구
41113-2018-00001,김희영,수원역해모로공인중개사사무소,"경기도 수원시 권선구 세류로 60 상가동 101호(세류동, 수원역해모로)",,권선구
41113-2021-00136,김정미,수원탑동OK부동산공인중개사사무소,"경기도 수원시 권선구 서둔로217번길 2 101호(탑동, 선우행복한집11차)",031-293-3006,권선구
41113-2022-00043,오일석,수자인드림공인중개사사무소,경기도 수원시 권선구 칠보로 102 상가2동 108호(호매실동),031-296-0600,권선구
41113-2024-00008,김민숙,수자인비전공인중개사사무소,"경기도 수원시 권선구 칠보로 102 상가2동 103호(호매실동, 한양수자인파크원)",-,권선구
41113-2022-00006,정정숙,수자인카페부동산공인중개사사무소,"경기도 수원시 권선구 칠보로 102 상가1동 103호(호매실동, 한양수자인파크원)",,권선구
41113-2019-00015,김민정,수자인탑공인중개사사무소,"경기도 수원시 권선구 칠보로 102 제1상가 101호(호매실동, 한양수자인파크원)",031-297-3399,권선구
41113-2021-00071,김주희,수자인탑합동공인중개사사무소,"경기도 수원시 권선구 칠보로 102 상가1동 101호(호매실동, 한양수자인파크원)",031-297-3399,권선구
41113-2024-00024,박종옥,스마일공인중개사사무소,경기도 수원시 권선구 권선로537번길 26-12 1층(세류동),,권선구
41113-2024-00089,이창열,스마일벨섬시티공인중개사사무소,경기도 수원시 권선구 호매실로218번길 22 상가2동 101호,031-292-0515,권선구
41113-2021-00069,박병욱,스마트공인중개사사무소,"경기도 수원시 권선구 구운중로 49-31 1층(구운동, 다옴하우스)",031-239-7999,권선구
41113-2025-00025,손영준,스마트최고공인중개사사무소,"경기도 수원시 권선구 호매실로218번길 111 , 상가동 105호",031-297-3030,권선구
41113-2021-00072,심미경,스위첸부동산공인중개사사무소,"경기도 수원시 권선구 호매실로166번길 63 상가동 104호(호매실동, 호매실스위첸능실마을19단지)",031-291-6100,권선구
41113-2023-00091,윤경휘,스카이공인중개사사무소,경기도 수원시 권선구 곡반정로 160 130호,,권선구
41113-2025-00015,정은경,스카이더퍼스트공인중개사사무소,경기도 수원시 권선구 곡반정로 160 130호,-6450,권선구
41113-2018-00136,이미라,스타 공인중개사사무소,"경기도 수원시 권선구 효원로256번길 7 102호(권선동, 지오베르크)",031-225-5900,권선구
41113-2018-00035,문찬우,스타클래스부동산중개컨설팅,"경기도 수원시 권선구 금곡로140번길 73 상가1동 101호(호매실동, 칠보마을9단지)",031-293-1001,권선구
41113-2018-00002,정연옥,스타클래스탑공인중개사사무소,"경기도 수원시 권선구 금곡로140번길 73 상가2동 102호(호매실동, 극동스타클래스)",031-278-3377,권선구
41113-2018-00161,장보환,스타합동 공인중개사사무소,경기도 수원시 권선구 효원로256번길 7 지오베르크 102호(권선동),031-225-5900,권선구
41113-2025-00043,김희영,스타힐스최고공인중개사사무소,"경기도 수원시 권선구 호매실로 103 , 상가동 104호(호매실동)",-,권선구
41113-2020-00005,전은영,스타힐스최고합동공인중개사사무소,"경기도 수원시 권선구 호매실로 103 , 상가동 104호(호매실동)",,권선구
41113-2020-00034,이홍식,스토리공인중개사사무소,경기도 수원시 권선구 세류로 59-1 2층(세류동),-,권선구
가3680-1364,탁남식,스피드공인중개사사무소,경기도 수원시 권선구 권중로 99 (권선동),031-237-8945,권선구
가3680-660,유동재,스피드부동산공인중개사사무소,경기도 수원시 권선구 권선로537번길 2 (세류동),031-233-4343,권선구
41113-2023-00019,정락현,스피드부동산공인중개사사무소,경기도 수원시 권선구 서둔로 223 1층(탑동),-,권선구
41113-2019-00144,김명자,스피드부동산합동공인중개사사무소,경기도 수원시 권선구 권선로537번길 2 (세류동),031-233-4343,권선구
41113-2019-00040,주미경,시청역공인중개사사무소,"경기도 수원시 권선구 효원로230번길 24 102동 102-1호(권선동, 올림픽공원대우미래사랑)",031-221-9500,권선구
41113-2015-00098,이선재,시티공인중개사사무소,"경기도 수원시 권선구 세권로 1 상가동 103호(세류동,LH수원센트럴타운3단지)",031-232-5944,권선구
41113-2021-00078,전미경,시티합동공인중개사사무소,"경기도 수원시 권선구 세권로 1 상가동 103호(세류동, LH수원센트럴타운3단지)",-,권선구
41113-2022-00053,김세웅,신국민공인중개사사무소,경기도 수원시 권선구 장다리로 37 1층 49호(세류동),031-222-5989,권선구
가3680-2352,최선옥,신명공인중개사사무소,"경기도 수원시 권선구 경수대로302번길 7 상가 101호(권선동,신명아파트)",031-223-4949,권선구
가3680-2661,장은광,신미주공인중개사사무소,"경기도 수원시 권선구 금호로15번길 15 상가동 103호(금곡동, 신미주아파트)",031-292-2959,권선구
41113-2017-00135,김정례,신영공인중개사사무소,경기도 수원시 권선구 하탑로63번길 3 102호(탑동),031-294-8484,권선구
가3680-2678,도경숙,신우공인중개사사무소,경기도 수원시 권선구 권중로 82 (권선동),031-232-4747,권선구
41113-2019-00037,유선미,신천부동산공인중개사사무소,경기도 수원시 권선구 금곡로118번길 24 리치빌딩 113호(금곡동),031-294-1472,권선구
41113-2016-00136,서동석,신한공인중개사사무소,"경기도 수원시 권선구 권선로436번길 21 상가동 102호 (평동,평동동남아파트)",031-296-3003,권선구
41113-2019-00104,조영숙,신현대공인중개사사무소,"경기도 수원시 권선구 권광로27번길 22 상가동 104호(권선동, 신현대아파트)",031-232-3277,권선구
41113-2015-00124,최윤아,실속만점공인중개사사무소,경기도 수원시 권선구 권선로 646 (권선동),031-233-0023,권선구
41113-2019-00141,성진희,쌍용OK(278-2900)플래티넘공인중개사사무소,"경기도 수원시 권선구 삼천병마로1566번길 11 B107호(오목천동, 플래티넘프라자)",031-278-2900,권선구
41113-2025-00030,신혜린,쌍용공인중개사사무소,"경기도 수원시 권선구 당진로31번길 49 , 105호(당수동)",,권선구
41113-2024-00047,남궁옥,쌍용단지내대박공인중개사사무소,"경기도 수원시 권선구 삼천병마로1566번길 11 제지하1층 제B110호(오목천동, 플래티넘 프라자)",031-252-3800,권선구
41113-2020-00006,권유진,쌍용하우스토리공인중개사사무소,"경기도 수원시 권선구 삼천병마로1598번길 32 105호(오목천동, 대유빌딩)",031-291-4300,권선구
41113-2015-00138,박영부,씨즈더원공인중개사사무소,"경기도 수원시 권선구 효원로220번길 17 102호(권선동,씨즈더원)",031-222-7022,권선구
나3680-588,김주영,아람공인중개사사무소,경기도 수원시 권선구 세지로 99 (세류동),031-235-6813,권선구
41113-2025-00013,황세음,아이파크LG공인중개사사무소,"경기도 수원시 권선구 덕영대로1190번길 100 , 718동 109호",031-234-0900,권선구
가3680-2471,김명숙,아이파크공인중개사사무소,"경기도 수원시 권선구 동수원로145번길 73 상가-2동 112호(권선동, 수원아이파크시티3단지)",031-223-8500,권선구
41113-2017-00175,신종순,아이파크미소공인중개사사무소,경기도 수원시 권선구 동수원로177번길 40 제1층 상가 128호(권선동),031-223-2800,권선구
41113-2021-00029,김종주,아이파크탑공인중개사사무소,"경기도 수원시 권선구 동수원로145번길 74 상가2동 111호(권선동, 수원아이파크시티1단지)",031-233-1400,권선구
41113-2022-00141,조규철,아카데미119공인중개사사무소,경기도 수원시 권선구 탑동로 31 1층(탑동),-,권선구
41113-2017-00089,이윤선,아파트뱅크공인중개사사무소,"경기도 수원시 권선구 세권로316번길 49 상가동 101호(권선동, 현대아파트)",031-226-4900,권선구
41113-2015-00112,김순미,애경공인중개사사무소,"경기도 수원시 권선구 권선로436번길 21 상가-103호(평동,동남아파트)",031-296-6002,권선구
41113-2016-00035,김민주,양지공인중개사사무소,경기도 수원시 권선구 금호로246번길 22 (탑동),031-291-6622,권선구
41113-2020-00143,이상재,양지부동산공인중개사사무소,경기도 수원시 권선구 금곡로197번길 18-82 104호(금곡동),031-296-4982,권선구
41113-2015-00096,백순애,어반시티공인중개사사무소,"경기도 수원시 권선구 세권로 1 상가동 102호(세류동,LH수원센트럴타운3단지)",031-233-5700,권선구
가3680-1575,노혜경,어울림공인중개사사무소,경기도 수원시 권선구 세권로43번길 26-6 (세류동),031-226-8852,권선구
41113-2024-00076,박영재,엉클박공인중개사사무소,"경기도 수원시 권선구 서부로1670번길 33 , 116호(고색동, 금호리첸시아)",-,권선구
41113-2025-00039,강형택,에이벨공인중개사사무소,"경기도 수원시 권선구 세지로94번길 6 ,102호(권선동)",-18187,권선구
가3680-2334,최유주,에이스공인중개사사무소,경기도 수원시 권선구 덕영대로1126번길 53 (세류동),224-0256,권선구
가3680-1965,성선화,에이스공인중개사사무소,경기도 수원시 권선구 동수원로 218-39 (권선동),031-225-4989,권선구
41113-2022-00128,한송희,에이스카운티공인중개사사무소,경기도 수원시 권선구 금곡로197번길 28 에이스카운티포유오피스텔 109호(금곡동),031-227-3002,권선구
가3680-2591,구본란,에이스합동공인중개사사무소,경기도 수원시 권선구 동수원로 218-39 (권선동),031-225-4989,권선구
가3680-3035,신동근,엔젤공인중개사사무소,경기도 수원시 권선구 동수원로146번길 77 102호(곡반정동),031-225-7733  031-300-3802,권선구
가3680-2004,김근숙,엘리트공인중개사사무소,경기도 수원시 권선구 동수원로146번길 6-10 (곡반정동),031-267-0074  031-267-1274,권선구
41113-2025-00038,이미란,엘지공인중개사사무소,"경기도 수원시 권선구 서수원로 594 , 1층(금곡동)",031-296-8801,권선구
가3680-1474,김경태,열린공인중개사사무소,경기도 수원시 권선구 정조로 466 (세류동),031-234-8984,권선구
41113-2016-00036,김시윤,영탑공인중개사사무소,"경기도 수원시 권선구 상탑로 2 101호(탑동, 어진빌딩)",031-294-9988,권선구
가3680-1701,조은순,예스부동산공인중개사사무소,경기도 수원시 권선구 동수원로146번길 6-2 102호 (곡반정동),031-236-1766,권선구
가3680-2692,박미숙,예스합동공인중개사사무소,경기도 수원시 권선구 상탑로 33 (탑동),031-291-1144,권선구
41113-2025-00019,정성욱,오거리공인중개사사무소,"경기도 수원시 권선구 동수원로58번길 21 , 상가동 107호 (곡반정동)",031-248-0005,권선구
41113-2022-00130,방순주,오목천쌍용명가공인중개사사무소,경기도 수원시 권선구 삼천병마로1566번길 11 플래티넘플라자 B108호(오목천동),031-293-3363   -,권선구
41113-2025-00040,강수현,오목천역서희언니네복덕방공인중개사사무소,"경기도 수원시 권선구 온정로9번길 36 ,212(상가)동 104호(오목천동)",-,권선구
41113-2017-00085,이경민,오목천역서희최고공인중개사사무소,"경기도 수원시 권선구 온정로9번길 36 상가동 101호(오목천동, 오목천역서희스타힐스아파트)",031-293-8889,권선구
41113-2025-00009,김상규,오목천역아름다운나날영조공인중개사사무소,"경기도 수원시 권선구 서수원로 161-11 (오목천동, 영조아름다운나날1단지)",031-294-4666,권선구
41113-2019-00028,이형록,오복공인중개사사무소,경기도 수원시 권선구 덕영대로1126번길 66 (세류동),031-222-8779,권선구
41113-2016-00060,하순진,오성공인중개사사무소,경기도 수원시 권선구 권선로536번길 6 (세류동),031-235-6008,권선구
41113-2018-00138,최성수,오성합동 공인중개사사무소,경기도 수원시 권선구 권선로536번길 6 1층(세류동),031-235-6008,권선구
41113-2018-00003,정광석,오피스공인중개사사무소,경기도 수원시 권선구 효원로266번길 14 302호,031-235-7114  -,권선구
41113-2018-00160,송태용,온누리 공인중개사사무소,경기도 수원시 권선구 구운로86번길 2 (구운동),031-291-9100,권선구
41113-2015-00090,김주원,온누리공인중개사사무소,경기도 수원시 권선구 세류로34번길 11 (세류동),031-235-1300,권선구
가3680-1252,김정선,온누리공인중개사사무소,경기도 수원시 권선구 권중로 136 (권선동),031-235-1300,권선구
41113-2020-00124,배정호,온누리부동산공인중개사사무소,경기도 수원시 권선구 매실로69번길 14 (호매실동),031-293-2288,권선구
가3629-1909,김경애,온동네공인중개사사무소,경기도 수원시 권선구 당진로14번길 57 (당수동),417-9090,권선구
41113-2017-00188,최가연,와와공인중개사사무소,경기도 수원시 권선구 정조로613번길 2 (세류동),031-8004-1381,권선구
41113-2020-00053,방희균,우남공인중개사사무소,경기도 수원시 권선구 덕영대로1323번길 25-33 우남아파트단지 상가 102호(권선동),031-225-7005,권선구
가3680-2670,송금숙,우리공인중개사사무소,경기도 수원시 권선구 금곡로 15-1 (금곡동),031-297-2459  031-242-8945,권선구
41113-2022-00149,김상환,우리공인중개사사무소,경기도 수원시 권선구 권선로640번길 11 1층(권선동),-,권선구
41113-2021-00104,김시헌,우리공인중개사사무소,경기도 수원시 권선구 세권로 14  상가 1층,031-234-1002,권선구
가3604-2-1834,임의남,우리공인중개사사무소,경기도 수원시 권선구 동수원로58번길 6 (곡반정동),031-226-0090,권선구
41113-2020-00107,김정연,우리마을공인중개사사무소,경기도 수원시 권선구 구운중로 26 (구운동),031-227-7711,권선구
41113-2017-00101,문성원,우리부동산공인중개사사무소,경기도 수원시 권선구 효원로 192 (권선동),031-236-2600,권선구
41113-2018-00065,정선우,우리부동산합동공인중개사사무소,경기도 수원시 권선구 효원로 192 (권선동),031-236-2600,권선구
가3680-986,조금순,우리집공인중개사사무소,"경기도 수원시 권선구 권광로27번길 62 상가102호(권선동,삼천리1차아파트)",031-222-4400 2020 02 13  ,권선구
가3680-1277,이미숙,우리집공인중개사사무소,경기도 수원시 권선구 세권로 310 (권선동),031-239-4949,권선구
가3680-3003,장석홍,우리컨설팅공인중개사사무소,경기도 수원시 권선구 매송고색로699번길 3 1층 (고색동),031-227-7069,권선구
가3680-3156,정연배,우리합동공인중개사사무소,경기도 수원시 권선구 금곡로 15-1 (금곡동),031-297-2459  031-242-8945,권선구
41113-2015-00158,홍광희,우림공인중개사사무소,"경기도 수원시 권선구 고색로 8 101호(고색동, 우림필유아파트단지내상가)",031-278-1600,권선구
가3680-3061,이도영,우방 공인중개사사무소,"경기도 수원시 권선구 효탑로 50 상가동 103호(탑동,우방아파트)",292-9600,권선구
가3680-2132,심인섭,우성공인중개사사무소,경기도 수원시 권선구 구운로14번길 2 (구운동),278-2500,권선구
가3680-2323,허육례,우성공인중개사사무소,경기도 수원시 권선구 세지로42번길 42 (세류동),226-5900,권선구
41113-2024-00074,윤기석,우아한가공인중개사사무소,경기도 수원시 권선구 덕영대로1126번길 26-4,-,권선구
41113-2016-00017,조진용,우인공인중개사사사무소,경기도 수원시 권선구 세화로154번길 7-10 수원역한라비발디퍼스트 103동 1010호,,권선구
가3680-2539,이민형,우진부동산공인중개사사무소,경기도 수원시 권선구 동수원로82번길 7-21 (곡반정동),031-234-6249,권선구
가3680-2717,박은주,울트라공인중개사사무소,경기도 수원시 권선구 서둔로 270-6 (서둔동),031-293-5400,권선구
41113-2024-00051,신재형,원공인중개사사무소,"경기도 수원시 권선구 동수원로145번길 23 ,상가동 115호(권선동, 수원아이파크시티4단지)",031-222-1030,권선구
41113-2021-00164,이경택,원룸114공인중개사사무소,경기도 수원시 권선구 동수원로146번길 188 102호(곡반정동),031-226-6114  031-226-6334,권선구
가3680-2582,김용권,원주민공인중개사사무소,경기도 수원시 권선구 경수대로54번길 72 (곡반정동),031-239-7300,권선구
41113-2023-00104,손현민,원탑부동산공인중개사사무소,경기도 수원시 권선구 권선로713번길 10 201호(권선동),031-222-0822  031-222-0821,권선구
41113-2025-00001,이한철,월드공인중개사사무소,경기도 수원시 권선구 탑동로 2,031-298-3210  -,권선구
41113-2020-00051,박철진,월드공인중개사사무소,경기도 수원시 권선구 권선로 308-18 수원종합공구단지 101동 106호(고색동),031-227-3553,권선구
가3680-2890,이향자,월드공인중개사사무소,경기도 수원시 권선구 동수원로146번길 139 (곡반정동),031-224-9500,권선구
가3680-2854,이화자,월드공인중개사사무소,경기도 수원시 권선구 금호로246번길 10 1층(탑동),031-278-3700,권선구
41113-2023-00059,이제황,위드공인중개사사무소,경기도 수원시 권선구 세권로 174 201호,031-222-3729  -  -  070-8028-1579    070-4518-9433 -  070-8064-3622  070-8979-4887  070-8027-1332,권선구
41113-2021-00170,김보경,위드공인중개사사무소,경기도 수원시 권선구 호매실로90번길 83 101호(호매실동),031-293-8984,권선구
41113-2025-00036,이원섭,위드부동산공인중개사사무소,"경기도 수원시 권선구 세권로 174 , 201호(권선동)",,권선구
41113-2024-00043,홍세희,위드합동공인중개사사무소,경기도 수원시 권선구 호매실로90번길 83 101호,-,권선구
가3680-1206,최은주,유림공인중개사사무소,경기도 수원시 권선구 고산로6번길 40 (고색동),291-1254,권선구
41113-2025-00008,이보경,유앤미공인중개사사무소,경기도 수원시 권선구 금곡로197번길 18-37 604호,-,권선구
41113-2021-00094,박미숙,유원114공인중개사사무소,"경기도 수원시 권선구 권중로 110 상가동 108호(권선동, 보성,유원아파트)",031-221-1114,권선구
가3680-1382,김현주,유원소망공인중개사사무소,"경기도 수원시 권선구 권중로 110 상가101호(권선동,유원보성아파트)",031-232-0900,권선구
41113-2020-00063,김효옥,유일공인중개사사무소,경기도 수원시 권선구 구운중로22번길 2 1층(구운동),031-296-1138,권선구
41113-2015-00050,서혜림,유일공인중개사사무소,경기도 수원시 권선구 동수원로146번길 70-3 102호(곡반정동),031-236-2247,권선구
41113-2021-00011,전규옥,유토빌공인중개사사무소,"경기도 수원시 권선구 동수원로146번길 281-25 상가 B103호(곡반정동, 권선신일유토빌)",031-267-1212,권선구
41113-2022-00062,윤영우,윤공인중개사사무소,경기도 수원시 권선구 구운로45번길 33-2 1층(구운동),031-293-9908,권선구
41113-2021-00112,한정애,으뜸공인중개사사무소,경기도 수원시 권선구 금곡로118번길 10-31 왕식자재마트 1층(금곡동),-,권선구
41113-2016-00072,강다현,으뜸공인중개사사무소,경기도 수원시 권선구 세권로107번길 2 (세류동),031-224-3651,권선구
가3681-1411,김영호,으뜸공인중개사사무소,경기도 수원시 권선구 세지로82번길 53 (권선동),031-217-2459,권선구
41113-2022-00105,박흠영,으뜸합동공인중개사사무소,경기도 수원시 권선구 세지로82번길 53 (권선동),-,권선구
41113-2021-00130,이효금,이강부동산공인중개사사무소,경기도 수원시 권선구 정조로 622 102호(세류동),-,권선구
41113-2023-00098,이하영,이로운공인중개사사무소,경기도 수원시 권선구 호매실로104번길 24-36 112호(호매실동),-,권선구
41113-2023-00099,김대현,이로운합동공인중개사사무소,경기도 수원시 권선구 호매실로104번길 24-36 112호(호매실동),-,권선구
41113-2020-00086,장미영,이룸부동산공인중개사사무소,"경기도 수원시 권선구 호매실로104번길 90 103호(호매실동, JD타워1)",031-292-8433,권선구
가3680-2217,이미숙,이미숙공인중개사사무소,경기도 수원시 권선구 세지로 92 (권선동),898-9125,권선구
41113-2023-00010,이행우,이박사공인중개사사무소,경기도 수원시 권선구 구운로45번길 111-2 1층(구운동),-8220,권선구
41113-2023-00092,이성기,이성기공인중개사사무소,"경기도 수원시 권선구 서수원로 174-2 ,1층(오목천동)",-,권선구
41113-2016-00131,안태영,이안공인중개사사무소,경기도 수원시 권선구 덕영대로 1086 (세류동),031-222-8800,권선구
41113-2023-00037,구진희,이오스공인중개사사무소,경기도 수원시 권선구 권광로 145 108호 (권선동),031-223-0707,권선구
41113-2022-00081,최성근,이지부동산공인중개사사무소,경기도 수원시 권선구 서부로1596번길 64 1층(고색동),- 031-8067-8055 070-4833-0762,권선구
41113-2025-00005,이지유,이지유공인중개사사무소,경기도 수원시 권선구 입북로 50 301동 107호,-,권선구
41113-2015-00099,최영섭,이편한어반시티공인중개사사무소,"경기도 수원시 권선구 세권로 1 상가 106호(세류동, 수원역센트럴어반시티)",031-226-4545,권선구
41113-2023-00060,이경희,인정공인중개사사무소,경기도 수원시 권선구 당진로15번길 50 1층(당수동),031-418-4600,권선구
가3678-2503,정선화,일번가공인중개사사무소,경기도 수원시 권선구 덕영대로963번길 3-1 (세류동),031-239-9019,권선구
41113-2023-00031,권중식,일타부동산공인중개사사무소,"경기도 수원시 권선구 호매실로90번길 77 , 1층 109호(호매실동)",-,권선구
41113-2021-00129,정선희,입북푸르지오공인중개사사무소,"경기도 수원시 권선구 입북로77번길 61 219동(상가동) 108호(입북동,서수원레이크푸르지오2단지)",031-294-8500,권선구
41113-2015-00094,임해진,자이공인중개사사무소,경기도 수원시 권선구 입북로43번길 2 102호 (입북동),031-294-7100,권선구
41113-2021-00075,김경미,자이단지내공인중개사사무소,경기도 수원시 권선구 권광로 55 상가2동 1층 B102호(권선동),031-225-1110,권선구
41113-2020-00054,홍재화,자이부동산공인중개사사무소,경기도 수원시 권선구 세권로196번길 10-2 (권선동),031-898-9459,권선구
41113-2023-00023,이영주,자이부동산합동공인중개사사무소,경기도 수원시 권선구 세권로196번길 10-2 1층(권선동),-,권선구
41113-2024-00015,이명진,재벌공인중개사사무소,경기도 수원시 권선구 하탑로 70 1층,031-292-7594,권선구
가3680-1218,박근토,재운공인중개사사무소,경기도 수원시 권선구 서호동로26번길 29 1층(서둔동),031-295-8955,권선구
41113-2020-00104,김충휘,재테크공인중개사사무소,경기도 수원시 권선구 세지로12번길 33-29 (세류동),031-233-9977,권선구
41113-2015-00005,한도희,재테크공인중개사사무소,경기도 수원시 권선구 곡반정로97번길 2 1층(곡반정동),031-233-9007,권선구
가3680-1646,장철환,전국공인중개사사무소,경기도 수원시 권선구 동수원로146번길 17 (곡반정동),031-221-0017,권선구
41113-2016-00067,민현정,정공인중개사사무소,경기도 수원시 권선구 장다리로 104 (권선동),031-222-1282,권선구
9252-4808,나성호,정다운공인중개사사무소,경기도 수원시 권선구 곡선로 44 (곡반정동),221-4452,권선구
